DB Class Key	Common Organism Name	NCBI Taxon ID	Symbol	EntrezGene ID	Mouse MGI ID	HGNC ID	OMIM Gene ID	Genetic Location	Genomic Coordinates (mouse: , human: )	Nucleotide RefSeq IDs	Protein RefSeq IDs	SWISS_PROT IDs
43219654	mouse, laboratory	10090	Coa4	68185	MGI:1915435			Chr7 54.36 cM	Chr7:100186307-100189579(+)	XM_006508152,NM_183270	NP_899093,XP_006508215	Q8BT51
43219654	human	9606	COA4	51287		HGNC:24604	OMIM:608016	Chr11 q13.4	Chr11:73870258-73876901(-)	NM_016565	NP_057649,XP_016873372,XP_016873373	Q9NYJ1
43219655	mouse, laboratory	10090	Mvb12a	73711	MGI:1920961			Chr8 34.43 cM	Chr8:71995552-72000670(+)	XM_011242330,NM_028617,XM_030243804	XP_011240632,NP_082893,XP_030099664	Q78HU3
43219655	human	9606	MVB12A	93343		HGNC:25153		Chr19 p13.11	Chr19:17405686-17425339(+)	NM_001304547,NM_138401	NP_001291476,NP_612410	Q96EY5
43219656	mouse, laboratory	10090	Rangrf	57785	MGI:1889073			Chr11 42.24 cM	Chr11:68863310-68866011(-)	NM_021329,NM_001285443,NM_001285441,NM_001285442	NP_001272372,NP_001272370,NP_067304,NP_001272371	Q9JIB0
43219656	human	9606	RANGRF	29098		HGNC:17679	OMIM:607954	Chr17 p13.1	Chr17:8287150-8290091(+)	NM_001177802,NM_001177801,NM_001330127,NM_016492	NP_057576,NP_001171272,NP_001171273,NP_001317056	Q9HD47
43219657	mouse, laboratory	10090	Tmem266	244886	MGI:2142980			Chr9 29.98 cM	Chr9:55234197-55345629(+)	XM_030244381,NM_172923,XM_036155006,XM_030244380,XM_036155007,XM_030244379,XM_036155005,XM_006511164,XM_006511161,XM_030244382,NM_001357568	XP_030100242,NP_001344497,NP_766511,XP_030100239,XP_036010899,XP_036010898,XP_036010900,XP_006511227,XP_006511224,XP_030100241,XP_030100240	Q8BZB3
43219657	human	9606	TMEM266	123591		HGNC:26763	OMIM:618691	Chr15 q24.2	Chr15:76059929-76204963(+)	NM_152335	XP_005254217,NP_689548,XP_016877404,XP_047288107	Q2M3C6
43219658	mouse, laboratory	10090	Fdft1	14137	MGI:102706			Chr14 33.24 cM	Chr14:63382599-63417027(-)	NM_010191,NM_001360211,XM_017315844,XM_006518547,XM_036158457	NP_034321,XP_036014350,XP_017171333,XP_006518610,NP_001347140	P53798
43219658	human	9606	FDFT1	2222		HGNC:3629	OMIM:184420	Chr8 p23.1	Chr8:11795573-11839309(+)	NM_001287751,NM_001287744,NM_001287745,NM_001287747,NM_001287742,NM_001287743,NM_001287748,NM_001287749,NM_001287750,NM_001287756,NM_004462	NP_001274671,NP_001274673,NP_004453,NP_001274672,NP_001274678,NP_001274685,NP_001274680,NP_001274679,NP_001274677,NP_001274676,NP_001274674	P37268
43219659	mouse, laboratory	10090	Mtss1	211401	MGI:2384818			Chr15 25.09 cM	Chr15:58813083-58953854(-)	XM_011245545,NM_001403506,XM_030248450,XM_030248451,XM_030248452,NM_001146180,NM_001403498,NM_144800,XM_030248444,XM_011245544,NM_001403500,XM_030248443,NM_001403501,XM_030248446,XM_011245546,XM_030248445,XM_011245547,XM_030248448,XM_017316531,XM_011245548,XM_006520709,XM_030248447,NM_001403502,XM_030248449,NM_001403507,NM_001403499,XM_006520707,XM_017316532,XM_011245540,XM_011245541,XM_011245542,XM_011245543,XM_030248442,XM_036159298,XM_036159299,XM_006520717,XM_006520714,XM_006520712,XM_006520711,NM_001403505,NM_001403504,NM_001403503	XP_030104307,XP_030104304,XP_030104305,XP_030104302,XP_030104303,XP_011243842,XP_011243843,XP_006520780,XP_017172020,XP_006520777,XP_036015191,XP_036015192,XP_011243844,XP_011243845,XP_011243850,XP_011243849,XP_011243846,XP_011243847,XP_011243848,XP_030104312,XP_030104311,XP_030104310,XP_006520770,XP_006520772,XP_006520774,XP_006520775,NP_001390427,NP_001390429,NP_001139652,NP_001390428,NP_659049,NP_001390430,NP_001390435,NP_001390436,XP_017172021,XP_030104308,XP_030104309,NP_001390433,NP_001390434,NP_001390431,NP_001390432,XP_030104306	Q8R1S4
